website,loc,lastmod,cured_name,type
www.kevinrchant.com,https://www.kevinrchant.com/2019/01/24/study-tips-for-sql-server-and-azure-exams/,2021-06-29,study tips for sql server and azure exams,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/07/01/testing-sql-server-assessment-in-azure-data-studio/,2021-06-30,testing sql server assessment in azure data studio,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/01/15/lessons-learned-by-a-time-travelling-sql-server-dba-part-two-the-future/,2021-06-30,lessons learned by a time travelling sql server dba part two the future,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/24/big-appreciation-for-key-workers/,2021-06-30,big appreciation for key workers,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/05/25/recent-azure-data-studio-updates/,2021-06-30,recent azure data studio updates,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/10/13/t-sql-tuesday-131-database-analogies/,2021-06-30,t sql tuesday 131 database analogies,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/04/06/my-nine-days-that-never-happened/,2021-06-30,my nine days that never happened,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/03/04/using-version-control-for-sql-server-management-studio-templates/,2021-06-30,using version control for sql server management studio templates,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/12/11/slow-clustered-index-rebuilds-within-sql-server/,2021-06-30,slow clustered index rebuilds within sql server,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/10/30/another-sql-server-horror-story-morning-after-a-zombie-spid/,2021-06-30,another sql server horror story morning after a zombie spid,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/02/19/investigating-sql-server-issues-locally-on-windows-server-2019-core/,2021-06-30,investigating sql server issues locally on windows server 2019 core,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/01/interesting-windows-container-with-sql-server-experiment/,2021-06-30,interesting windows container with sql server experiment,blog
www.kevinrchant.com,https://www.kevinrchant.com/2020/06/09/t-sql-tuesday-127-create-your-own-azure-devops-organization/,2021-06-30,t sql tuesday 127 create your own azure devops organization,blog
www.kevinrchant.com,https://www.kevinrchant.com/2018/12/20/potential-for-the-future-after-this-years-data-platform-announcements/,2021-06-30,potential for the future after this years data platform announcements,blog
www.kevinrchant.com,https://www.kevinrchant.com/2019/04/25/deploying-sql-server-services-in-azure-using-visual-studio-subscription/,2021-06-30,deploying sql server services in azure using visual studio subscription,blog
